time,PM 2.5,PM 10
2018-09-27 06:52:00,15.9516666667,20.8666666667
2018-09-27 06:53:00,17.5533333333,18.7666666667
2018-09-27 06:54:00,17.8433333333,21.275
2018-09-27 06:55:00,18.77,21.2116666667
2018-09-27 06:56:00,17.7766666667,20.8116666667
2018-09-27 06:57:00,17.4344262295,19.9770491803
2018-09-27 06:58:00,17.3,22.2216666667
2018-09-27 06:59:00,15.8816666667,20.0966666667
2018-09-27 07:00:00,17.7655172414,20.8844827586
2018-09-27 07:01:00,18.56,24.12
2018-09-27 07:02:00,18.4883333333,24.9983333333
2018-09-27 07:03:00,18.8033333333,24.6033333333
2018-09-27 07:04:00,17.0901639344,19.2393442623
2018-09-27 07:05:00,17.6433333333,23.175
2018-09-27 07:06:00,17.6933333333,22.3633333333
2018-09-27 07:07:00,16.325,20.17
2018-09-27 07:08:00,16.2733333333,22.1433333333
2018-09-27 07:09:00,16.9883333333,21.0
2018-09-27 07:10:00,16.0338983051,20.5644067797
2018-09-27 07:11:00,17.037704918,21.9721311475
2018-09-27 07:12:00,17.8766666667,22.325
2018-09-27 07:13:00,17.2616666667,21.1833333333
2018-09-27 07:14:00,17.24,22.2933333333
2018-09-27 07:15:00,15.8183333333,20.6416666667
2018-09-27 07:16:00,15.9716666667,19.72
2018-09-27 07:17:00,16.9533333333,22.43
2018-09-27 07:18:00,18.3933333333,19.9533333333
2018-09-27 07:19:00,18.2278688525,22.5836065574
2018-09-27 07:20:00,18.0898305085,20.9898305085
2018-09-27 07:21:00,19.3066666667,20.77
2018-09-27 07:22:00,16.2883333333,20.6783333333
2018-09-27 07:23:00,17.8616666667,23.4916666667
2018-09-27 07:24:00,17.68,20.3333333333
2018-09-27 07:25:00,17.39,19.6666666667
2018-09-27 07:26:00,14.5180327869,18.4721311475
2018-09-27 07:27:00,16.035,20.0366666667
2018-09-27 07:28:00,17.9283333333,19.7366666667
2018-09-27 07:29:00,15.82,17.4083333333
2018-09-27 07:30:00,17.1775862069,21.674137931
2018-09-27 07:31:00,17.5666666667,22.885
2018-09-27 07:32:00,16.8566666667,19.545
2018-09-27 07:33:00,19.8508196721,23.9639344262
2018-09-27 07:34:00,19.0333333333,25.0466666667
2018-09-27 07:35:00,17.675,27.3816666667
2018-09-27 07:36:00,18.935,23.8466666667
2018-09-27 07:37:00,16.9866666667,21.8933333333
2018-09-27 07:38:00,16.5083333333,20.195
2018-09-27 07:39:00,15.7483333333,19.1966666667
2018-09-27 07:40:00,17.89,20.755
2018-09-27 07:41:00,18.2366666667,22.6633333333
2018-09-27 07:42:00,18.8083333333,21.155
2018-09-27 07:43:00,15.9866666667,21.3983333333
2018-09-27 07:44:00,17.425,23.5516666667
2018-09-27 07:45:00,19.1133333333,21.3866666667
2018-09-27 07:46:00,19.6466666667,20.6733333333
2018-09-27 07:47:00,19.8737704918,23.3229508197
2018-09-27 07:48:00,18.66,22.165
2018-09-27 07:49:00,19.3783333333,21.0333333333
2018-09-27 07:50:00,19.8406779661,22.2355932203
2018-09-27 07:51:00,19.9983333333,21.0566666667
2018-09-27 07:52:00,16.7716666667,20.105
2018-09-27 07:53:00,16.345,19.5183333333
2018-09-27 07:54:00,16.1557377049,20.0540983607
2018-09-27 07:55:00,16.5383333333,20.1816666667
2018-09-27 07:56:00,17.915,19.7433333333
2018-09-27 07:57:00,19.9116666667,21.9016666667
2018-09-27 07:58:00,17.505,22.3183333333
2018-09-27 07:59:00,16.9433333333,22.1266666667
2018-09-27 08:00:00,17.2949152542,23.1593220339
2018-09-27 08:01:00,17.7032786885,24.8032786885
2018-09-27 08:02:00,18.0266666667,23.4166666667
2018-09-27 08:03:00,19.065,22.8466666667
2018-09-27 08:04:00,18.3166666667,25.4316666667
2018-09-27 08:05:00,18.74,23.33
2018-09-27 08:06:00,17.88,23.3666666667
2018-09-27 08:07:00,19.0633333333,23.925
2018-09-27 08:08:00,20.4590163934,25.9409836066
2018-09-27 08:09:00,21.5916666667,27.4916666667
2018-09-27 08:10:00,22.6793103448,25.4896551724
2018-09-27 08:11:00,22.2566666667,23.4883333333
2018-09-27 08:12:00,24.635,27.3716666667
2018-09-27 08:13:00,25.205,29.365
2018-09-27 08:14:00,25.1016666667,32.0683333333
2018-09-27 08:15:00,23.162295082,33.7754098361
2018-09-27 08:16:00,24.68,31.3283333333
2018-09-27 08:17:00,23.6816666667,27.995
2018-09-27 08:18:00,25.04,27.735
2018-09-27 08:19:00,24.76,29.04
2018-09-27 08:20:00,24.9327586207,34.2672413793
2018-09-27 08:21:00,23.7883333333,29.1066666667
2018-09-27 08:22:00,23.1032786885,26.3360655738
2018-09-27 08:23:00,24.9433333333,30.25
2018-09-27 08:24:00,22.04,29.1566666667
2018-09-27 08:25:00,23.4166666667,27.815
2018-09-27 08:26:00,20.945,23.0433333333
2018-09-27 08:27:00,21.0,25.6633333333
2018-09-27 08:28:00,22.13,29.9683333333
2018-09-27 08:29:00,22.0786885246,28.8983606557
2018-09-27 08:30:00,20.7152542373,33.8881355932
2018-09-27 08:31:00,20.485,27.3366666667
2018-09-27 08:32:00,20.5066666667,30.7683333333
2018-09-27 08:33:00,21.965,34.6333333333
2018-09-27 08:34:00,20.5783333333,27.3916666667
2018-09-27 08:35:00,23.275,32.1716666667
2018-09-27 08:36:00,22.2783333333,30.5833333333
2018-09-27 08:37:00,23.3868852459,36.406557377
2018-09-27 08:38:00,19.9883333333,31.8133333333
2018-09-27 08:39:00,19.1433333333,28.0966666667
2018-09-27 08:40:00,20.6827586207,26.4396551724
2018-09-27 08:41:00,19.4216666667,26.185
2018-09-27 08:42:00,21.2933333333,25.1233333333
2018-09-27 08:43:00,21.795,33.275
2018-09-27 08:44:00,21.462295082,33.1606557377
2018-09-27 08:45:00,20.245,31.8816666667
2018-09-27 08:46:00,21.0866666667,28.2
2018-09-27 08:47:00,19.5333333333,25.3066666667
2018-09-27 08:48:00,19.5766666667,24.9416666667
2018-09-27 08:49:00,20.305,27.4883333333
2018-09-27 08:50:00,20.3051724138,23.9344827586
2018-09-27 08:51:00,19.0098360656,23.9032786885
2018-09-27 08:52:00,18.415,25.1116666667
2018-09-27 08:53:00,18.845,23.5183333333
2018-09-27 08:54:00,17.885,24.005
2018-09-27 08:55:00,18.005,25.5633333333
2018-09-27 08:56:00,19.3016666667,24.0716666667
2018-09-27 08:57:00,18.4216666667,23.9433333333
2018-09-27 08:58:00,18.6483333333,27.085
2018-09-27 08:59:00,17.5754098361,27.4245901639
2018-09-27 09:00:00,18.8140350877,26.5473684211
2018-09-27 09:01:00,18.5433333333,23.0533333333
2018-09-27 09:02:00,19.6733333333,24.7266666667
2018-09-27 09:03:00,18.8116666667,22.6866666667
2018-09-27 09:04:00,16.3116666667,21.6616666667
2018-09-27 09:05:00,15.5333333333,20.6166666667
2018-09-27 09:06:00,18.3606557377,21.9885245902
2018-09-27 09:07:00,19.9766666667,29.3733333333
2018-09-27 09:08:00,17.9966666667,25.0516666667
2018-09-27 09:09:00,17.5883333333,23.9883333333
2018-09-27 09:10:00,17.2620689655,21.674137931
2018-09-27 09:11:00,16.8833333333,22.1783333333
2018-09-27 09:12:00,17.5733333333,20.84
2018-09-27 09:13:00,17.0672131148,22.8590163934
2018-09-27 09:14:00,16.25,23.4283333333
2018-09-27 09:15:00,16.7183333333,21.58
2018-09-27 09:16:00,16.2166666667,22.4433333333
2018-09-27 09:17:00,15.5833333333,24.4416666667
2018-09-27 09:18:00,16.0966666667,20.705
2018-09-27 09:19:00,14.9333333333,18.8366666667
2018-09-27 09:20:00,14.4610169492,20.206779661
2018-09-27 09:21:00,15.1868852459,21.1344262295
2018-09-27 09:22:00,15.3283333333,20.3083333333
2018-09-27 09:23:00,13.735,18.1816666667
2018-09-27 09:24:00,15.5433333333,21.2833333333
2018-09-27 09:25:00,14.7833333333,19.085
2018-09-27 09:26:00,15.4866666667,22.5216666667
2018-09-27 09:27:00,14.8733333333,23.845
2018-09-27 09:28:00,13.9442622951,17.8
2018-09-27 09:29:00,14.555,17.2966666667
2018-09-27 09:30:00,13.586440678,17.386440678
2018-09-27 09:31:00,14.2516666667,18.8666666667
2018-09-27 09:32:00,15.6583333333,19.2283333333
2018-09-27 09:33:00,15.0233333333,20.5733333333
2018-09-27 09:34:00,14.6366666667,19.1133333333
2018-09-27 09:35:00,14.0266666667,16.835
2018-09-27 09:36:00,13.6098360656,18.3868852459
2018-09-27 09:37:00,13.885,18.9416666667
2018-09-27 09:38:00,14.87,22.5816666667
2018-09-27 09:39:00,13.6466666667,21.5516666667
2018-09-27 09:40:00,12.2034482759,17.3448275862
2018-09-27 09:41:00,14.4533333333,18.045
2018-09-27 09:42:00,15.1866666667,21.225
2018-09-27 09:43:00,13.5183333333,18.5733333333
2018-09-27 09:44:00,13.9721311475,16.2163934426
2018-09-27 09:45:00,12.7133333333,17.6566666667
2018-09-27 09:46:00,12.8766666667,16.93
2018-09-27 09:47:00,12.6116666667,15.82
2018-09-27 09:48:00,13.0266666667,19.3133333333
2018-09-27 09:49:00,13.21,17.1283333333
2018-09-27 09:50:00,13.1844827586,18.6431034483
2018-09-27 09:51:00,13.8783333333,16.5833333333
2018-09-27 09:52:00,12.362295082,16.3524590164
2018-09-27 09:53:00,13.13,16.4466666667
2018-09-27 09:54:00,12.2383333333,16.9783333333
2018-09-27 09:55:00,13.6816666667,16.8783333333
2018-09-27 09:56:00,12.7933333333,16.7966666667
2018-09-27 09:57:00,14.4616666667,17.6183333333
2018-09-27 09:58:00,12.455,16.65
2018-09-27 09:59:00,12.215,16.0016666667
2018-09-27 10:00:00,13.7116666667,15.2733333333
2018-09-27 10:01:00,13.2416666667,15.8783333333
2018-09-27 10:02:00,13.5216666667,17.03
2018-09-27 10:03:00,13.8966666667,19.1816666667
2018-09-27 10:04:00,14.1116666667,22.17
2018-09-27 10:05:00,14.025,17.9483333333
2018-09-27 10:06:00,13.3266666667,19.1233333333
2018-09-27 10:07:00,13.1683333333,17.175
2018-09-27 10:08:00,14.731147541,21.0229508197
2018-09-27 10:09:00,12.5633333333,17.35
2018-09-27 10:10:00,14.7,16.84
2018-09-27 10:11:00,12.5066666667,16.5816666667
2018-09-27 10:12:00,11.5,15.6583333333
2018-09-27 10:13:00,13.1383333333,17.185
2018-09-27 10:14:00,14.025,17.3883333333
2018-09-27 10:15:00,13.8416666667,15.9066666667
2018-09-27 10:16:00,13.0721311475,18.7393442623
2018-09-27 10:17:00,13.87,17.0316666667
2018-09-27 10:18:00,13.1633333333,16.55
2018-09-27 10:19:00,13.6716666667,16.3033333333
2018-09-27 10:20:00,13.0017241379,15.1775862069
2018-09-27 10:21:00,13.1966666667,16.7616666667
2018-09-27 10:22:00,12.3633333333,15.5283333333
2018-09-27 10:23:00,13.6216666667,17.3983333333
2018-09-27 10:24:00,14.0672131148,19.0442622951
2018-09-27 10:25:00,13.4766666667,17.21
2018-09-27 10:26:00,13.0166666667,17.3416666667
2018-09-27 10:27:00,13.04,15.7383333333
2018-09-27 10:28:00,12.1,14.9766666667
2018-09-27 10:29:00,12.2916666667,16.0483333333
2018-09-27 10:30:00,14.7172413793,16.2965517241
2018-09-27 10:31:00,13.655,16.5866666667
2018-09-27 10:32:00,13.9316666667,17.86
2018-09-27 10:33:00,14.2737704918,18.0229508197
2018-09-27 10:34:00,13.0433333333,18.2533333333
2018-09-27 10:35:00,14.975,17.3483333333
2018-09-27 10:36:00,12.4033333333,15.7483333333
2018-09-27 10:37:00,13.9533333333,18.235
2018-09-27 10:38:00,13.9833333333,18.9866666667
2018-09-27 10:39:00,12.8216666667,18.6416666667
2018-09-27 10:40:00,13.1103448276,19.3189655172
2018-09-27 10:41:00,13.06,19.84
2018-09-27 10:42:00,13.2081967213,19.2557377049
2018-09-27 10:43:00,14.3683333333,18.6716666667
2018-09-27 10:44:00,13.6083333333,19.1783333333
2018-09-27 10:45:00,13.5983333333,17.4533333333
2018-09-27 10:46:00,14.2716666667,15.7333333333
2018-09-27 10:47:00,13.7266666667,20.3533333333
2018-09-27 10:48:00,13.6333333333,19.2
2018-09-27 10:49:00,13.55,18.5116666667
2018-09-27 10:50:00,12.8169491525,16.2355932203
2018-09-27 10:51:00,13.7516666667,19.2516666667
2018-09-27 10:52:00,14.9316666667,20.6933333333
2018-09-27 10:53:00,13.4483333333,18.9066666667
2018-09-27 10:54:00,13.7816666667,19.1433333333
2018-09-27 10:55:00,12.5516666667,16.935
2018-09-27 10:56:00,13.2483333333,18.3566666667
2018-09-27 10:57:00,14.4616666667,19.8116666667
2018-09-27 10:58:00,14.2816666667,21.455
2018-09-27 10:59:00,13.7147540984,20.2016393443
2018-09-27 11:00:00,14.4413793103,16.6206896552
2018-09-27 11:01:00,13.38,17.9483333333
2018-09-27 11:02:00,13.2233333333,17.6283333333
2018-09-27 11:03:00,14.9066666667,17.255
2018-09-27 11:04:00,14.0283333333,18.1866666667
2018-09-27 11:05:00,13.165,16.75
2018-09-27 11:06:00,14.6833333333,18.0783333333
2018-09-27 11:07:00,15.8083333333,20.1216666667
2018-09-27 11:08:00,15.7852459016,20.7295081967
2018-09-27 11:09:00,15.9016666667,18.05
2018-09-27 11:10:00,14.6559322034,18.9542372881
2018-09-27 11:11:00,13.35,17.2983333333
2018-09-27 11:12:00,14.5933333333,21.6
2018-09-27 11:13:00,14.7383333333,20.0883333333
2018-09-27 11:14:00,13.9083333333,18.7183333333
2018-09-27 11:15:00,14.3933333333,19.565
2018-09-27 11:16:00,14.9383333333,19.5033333333
2018-09-27 11:17:00,14.9081967213,17.8114754098
2018-09-27 11:18:00,14.3166666667,15.905
2018-09-27 11:19:00,14.9916666667,16.0666666667
2018-09-27 11:20:00,14.2137931034,19.7344827586
2018-09-27 11:21:00,12.0066666667,16.8583333333
2018-09-27 11:22:00,13.5266666667,17.6083333333
2018-09-27 11:23:00,14.2916666667,19.5366666667
2018-09-27 11:24:00,14.955,18.6716666667
2018-09-27 11:25:00,14.2833333333,20.0283333333
2018-09-27 11:26:00,13.3885245902,17.468852459
2018-09-27 11:27:00,13.2966666667,17.1466666667
2018-09-27 11:28:00,13.4083333333,18.2666666667
2018-09-27 11:29:00,14.2716666667,18.4083333333
2018-09-27 11:30:00,12.6052631579,17.2473684211
2018-09-27 11:31:00,13.7983333333,16.935
2018-09-27 11:32:00,12.4433333333,16.575
2018-09-27 11:33:00,14.2066666667,16.3033333333
2018-09-27 11:34:00,14.4754098361,18.0655737705
2018-09-27 11:35:00,14.905,18.2466666667
2018-09-27 11:36:00,14.4866666667,17.9083333333
2018-09-27 11:37:00,13.4016666667,15.8016666667
2018-09-27 11:38:00,14.255,18.6916666667
2018-09-27 11:39:00,14.0216666667,19.4983333333
2018-09-27 11:40:00,12.8396551724,15.95
2018-09-27 11:41:00,13.7366666667,16.8916666667
2018-09-27 11:42:00,14.34,20.0983333333
2018-09-27 11:43:00,13.1,17.5295081967
