time	Area	Orientation	MajorAxisLength	MinorAxisLength	MaxIntensity	MeanIntensity	Ellipticity	xCentroid	yCentroid	xCenter	yCenter	year	month	day	hour	minute	ALT	avgV	avgD	class	clust	event
731930.149305556	632	32.6109423591725	75.0793574807063	19.8561749261646	104.801338535719	17.7817989538033	0.264469164260859	23.5537974683544	67.0395569620253	222553.797468354	572960.443037975	2003	12	15	3	35	110	14.1428571428571	294	20	1	267
731930.152777778	167	9.95980088844881	20.4126206392446	11.2623624969729	57.1988197644962	18.9339471864709	0.551735257124226	21.1616766467066	61.1976047904192	220161.676646707	578802.395209581	2003	12	15	3	40	110	10.7142857142857	308.142857142857	20	1	267
731930.152777778	39	11.8877457492451	9.31804359623945	5.70094924113125	11.7367025094277	7.06867513746064	0.611818262304764	39.9230769230769	61.4358974358974	238923.076923077	578564.102564103	2003	12	15	3	40	110	10.7142857142857	308.142857142857	20	1	267
731930.152777778	151	41.0285155742267	18.1962061049953	11.0093314896108	129.442272959885	31.371727634051	0.605034446526106	49.8741721854305	49.4238410596027	248874.17218543	590576.158940397	2003	12	15	3	40	110	10.7142857142857	308.142857142857	20	1	267
731930.15625	134	2.50607196340367	19.1912097408394	9.55905311496398	46.184900235809	17.6648428334916	0.498095390757055	20.9776119402985	60.8955223880597	219977.611940299	579104.47761194	2003	12	15	3	45	110	7.28571428571429	322.285714285714	20	1	267
731930.15625	74	25.3750750098347	10.223096640578	9.46695234623095	19.7313340499758	9.24086554369545	0.926035689485147	40.6621621621622	63.0135135135135	239662.162162162	576986.486486487	2003	12	15	3	45	110	7.28571428571429	322.285714285714	20	1	267
731930.15625	240	-58.6458881226804	23.7115447664818	16.2540637759169	103.803390352132	21.3402616570779	0.685491558478863	47.7791666666667	45.8583333333333	246779.166666667	594141.666666667	2003	12	15	3	45	110	7.28571428571429	322.285714285714	20	1	267
731930.159722222	104	-42.1084112433204	16.8622822389242	8.17478720100074	29.1698625991105	13.5379166905354	0.484797199167405	11.9615384615385	78.5769230769231	210961.538461538	561423.076923077	2003	12	15	3	50	110	7.71428571428571	322.285714285714	20	1	267
731930.159722222	130	3.87156854708668	19.4895087345629	9.27694412419434	35.1709807071219	13.8843515148173	0.475996817084594	20.4923076923077	60.7	219492.307692308	579300	2003	12	15	3	50	110	7.71428571428571	322.285714285714	20	1	267
731930.159722222	89	11.0528988842225	10.9315802583436	10.5903960621757	36.8186833883832	12.2608069234637	0.968789123977988	40.8426966292135	64.0224719101124	239842.696629213	575977.528089888	2003	12	15	3	50	110	7.71428571428571	322.285714285714	20	1	267
731930.159722222	308	-61.4557831384149	24.9697840725939	17.5350299481775	81.02215350479	19.9503970601208	0.702249963283558	47.2532467532468	43.775974025974	246253.246753247	596224.025974026	2003	12	15	3	50	110	7.71428571428571	322.285714285714	20	1	267
731930.163194445	79	-44.8081000696429	13.9724531523184	7.57947463378511	19.4465750660737	10.1424407160399	0.542458403771958	12.4430379746835	79.253164556962	211443.037974684	560746.835443038	2003	12	15	3	55	110	7.28571428571429	322.714285714286	20	1	267
731930.163194445	104	9.43827431880711	17.1527673466699	8.6455246807726	24.1570611784347	10.9023644769781	0.504030895192611	19.4230769230769	60.6538461538462	218423.076923077	579346.153846154	2003	12	15	3	55	110	7.28571428571429	322.714285714286	20	1	267
731930.163194445	338	-63.0411834700124	25.0266657514349	19.2850443305169	121.533230257185	21.1983709194166	0.770579849591479	47.2485207100592	42.6331360946746	246248.520710059	597366.863905325	2003	12	15	3	55	110	7.28571428571429	322.714285714286	20	1	267
731930.166666667	62	44.9232208909608	11.2081526155226	9.31645441812248	14.5643387076097	7.99147446892503	0.831221231340099	16.9193548387097	60.3548387096774	215919.35483871	579645.161290323	2003	12	15	4	0	110	11.1428571428571	308.142857142857	20	1	267
731930.166666667	321	-50.2768419775622	22.8691024462361	20.1647798329762	162.04430700958	24.855541847224	0.881747759029129	47.0342679127726	41.1214953271028	246034.267912773	598878.504672897	2003	12	15	4	0	110	11.1428571428571	308.142857142857	20	1	267
731930.170138889	11	15.0706927760377	4.49690773447605	3.27750029068392	17.3922823412577	9.42098152251091	0.72883423103316	16.3636363636364	53.9090909090909	215363.636363636	586090.909090909	2003	12	15	4	5	110	15.8571428571429	291.428571428571	20	1	267
731930.170138889	21	25.0836071608328	8.47015520798322	3.61437781485312	10.6055904981778	7.33567363823417	0.426719195351524	30.8571428571429	48.8095238095238	229857.142857143	591190.476190476	2003	12	15	4	5	110	15.8571428571429	291.428571428571	20	1	267
731930.170138889	262	21.0376259395221	22.9702942168011	15.8578419850287	202.555383761975	34.4198330836758	0.690363033026797	46.0992366412214	38.6603053435115	245099.236641221	601339.694656488	2003	12	15	4	5	110	15.8571428571429	291.428571428571	20	1	267
731930.173611111	9	26.565051177078	4.76095228569523	2.61996136056702	10.7370301895505	8.22180993674096	0.550301957118739	26.5555555555556	49.1111111111111	225555.555555556	590888.888888889	2003	12	15	4	10	0	19.7142857142857	276.857142857143	20	1	267
731930.173611111	290	57.4051485676383	25.3953359402592	14.8317921085222	172.248893195491	31.5085089034443	0.584036066442001	47.7068965517241	36.5931034482759	246706.896551724	603406.896551724	2003	12	15	4	10	110	19.7142857142857	276.857142857143	20	1	267
731930.173611111	137	34.1979721847139	15.0579190575419	12.2621094278834	134.293500226209	18.04258962792	0.814329614937183	49.5766423357664	61.0510948905109	248576.642335766	578948.905109489	2003	12	15	4	10	110	19.7142857142857	276.857142857143	20	1	267
731930.177083333	32	5.9838058905379	7.61559827219729	5.47413962401146	19.0501304440025	10.8119605433496	0.718806248485589	15.90625	53.0625	214906.25	586937.5	2003	12	15	4	15	110	22.7142857142857	261.428571428571	20	1	267
